"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_0266" 12597 12948 15062 2244 485 1531 2038 1152 2274 10016 9510 11477
"STM14_0267" 3635 3595 4127 868 205 617 602 354 728 2266 2054 2395
"STM14_0268" 3997 4135 4498 772 225 526 600 358 667 2458 2532 2834
"STM14_0269" 2278 2194 2513 608 81 332 346 200 429 1493 1497 1574
"STM14_0270" 3689 3481 3984 776 140 496 480 368 625 2424 2521 2468
"STM14_0271" 1551 1605 1732 400 80 258 292 191 296 1102 1097 1189
"STM14_0272" 556 558 646 144 19 89 102 70 109 389 408 391
"STM14_0273" 2390 2675 2857 671 147 424 481 286 389 1697 1494 1587
"STM14_0274" 1503 1599 1900 741 165 418 485 280 430 1052 1030 1201
"STM14_0275" 162 157 185 35 8 27 23 10 32 145 152 237
"STM14_0276" 1641 1839 2054 227 72 206 290 140 316 1375 1391 1782
"STM14_0277" 334 404 452 56 12 37 59 31 77 306 275 358
"STM14_0278" 501 589 586 103 22 70 108 54 116 429 491 585
"STM14_0279" 1828 2217 2676 237 39 151 420 200 550 2141 1961 2821
"STM14_0280" 632 815 1025 85 12 62 132 88 237 751 716 991
"STM14_0281" 375 333 421 74 12 52 69 38 76 347 343 405
"STM14_0282" 306 282 299 64 15 49 50 42 74 267 290 345
"STM14_0283" 987 1039 1290 182 33 112 173 135 230 976 1065 1352
"STM14_0284" 7973 7247 8381 2172 412 1187 1530 1170 1667 6874 6695 6935
"STM14_0285" 668 665 787 211 40 128 191 117 151 718 736 764
"STM14_0286" 976 1047 1325 281 82 233 275 170 361 962 1042 1113
"STM14_0287" 3634 3610 4769 636 123 356 680 420 946 3468 3325 3809
"STM14_0288" 299 320 315 101 28 44 66 81 88 235 226 250
"STM14_0289" 514 562 608 217 43 104 129 129 137 421 364 425
"STM14_0290" 899 883 1028 257 60 169 264 214 315 1086 1127 1182
"STM14_0291" 55 46 46 7 1 6 21 12 16 40 47 75
"STM14_0292" 380 381 688 3319 1070 4008 2422 2489 2037 564 443 323
"STM14_0296" 174 166 195 263 51 177 91 106 195 148 178 187
"STM14_0300" 193 191 217 42 7 21 20 23 30 139 157 196
"STM14_0301" 88 99 115 13 1 10 15 12 18 117 106 169
"STM14_0302" 17 17 19 1 1 1 8 3 10 16 17 25
"STM14_0303" 574 668 731 58 18 92 74 25 100 444 561 802
"STM14_0304" 220 243 300 30 9 30 20 9 34 169 226 297
"STM14_0305" 3853 4633 5222 430 58 150 219 142 241 1589 1187 1488
"STM14_0306" 282 358 389 37 10 21 23 9 30 203 248 349
"STM14_0307" 242 281 287 29 7 27 31 14 33 187 239 294
"STM14_0308" 188 207 211 25 1 19 34 9 27 88 112 144
"STM14_0309" 1008 1162 1315 116 15 63 99 64 125 820 763 1098
"STM14_0310" 171 165 180 19 0 4 15 10 21 104 170 202
"STM14_0312" 5 5 4 1 0 1 3 0 2 4 12 8
"STM14_0313" 30 27 21 7 0 5 2 3 2 32 43 71
"STM14_0314" 6 22 23 0 0 1 1 1 0 5 14 13
"STM14_0315" 34 44 50 2 1 1 1 2 5 22 29 33
"STM14_0316" 9 15 18 1 0 0 0 0 3 12 8 22
"STM14_0317" 54 42 44 2 1 3 4 2 5 39 38 29
"STM14_0318" 9 11 24 1 0 1 4 1 1 18 18 48
"STM14_0319" 88 68 96 16 4 9 15 10 9 103 94 91
"STM14_0320" 38 31 45 6 5 1 4 4 5 28 31 39
"STM14_0321" 134 108 142 20 1 5 17 12 17 102 110 140
"STM14_0322" 3 4 8 1 0 0 2 0 1 4 5 10
"STM14_0323" 17 12 12 8 0 5 4 6 6 25 20 27
"STM14_0324" 18 24 31 4 0 4 6 4 8 44 47 42
"STM14_0325" 11 7 11 2 0 4 2 4 4 36 40 53
"STM14_0326" 9 9 12 10 0 1 7 6 4 48 50 61
"STM14_0327" 29 20 36 16 3 6 15 12 14 84 103 94
"STM14_0328" 7 9 23 11 0 0 4 4 2 42 33 36
"STM14_0329" 31 27 39 5 0 3 5 9 7 57 56 52
"STM14_0330" 39 27 35 7 1 3 6 2 5 55 57 48
"STM14_0331" 9 17 17 3 1 3 4 2 5 22 63 48
"STM14_0332" 7 4 2 0 0 1 2 3 0 14 9 21
"STM14_0333" 96 85 73 6 2 8 8 6 9 92 94 134
"STM14_0334" 6 10 7 1 1 1 1 1 2 17 16 20
"STM14_0335" 8 12 9 1 0 1 1 1 1 28 29 32
"STM14_0336" 19 28 18 0 1 0 3 4 3 35 33 42
"STM14_0337" 1 2 1 0 0 0 1 0 2 2 7 12
"STM14_0338" 62 56 100 10 1 10 12 9 8 123 99 129
"STM14_0339" 22 18 32 2 0 0 6 0 3 22 36 44
"STM14_0340" 223 327 350 44 8 22 42 25 48 372 364 502
"STM14_0341" 115 148 165 33 3 15 27 14 22 179 163 212
"STM14_0342" 144 161 200 43 5 15 24 11 29 260 211 282
"STM14_0343" 2 4 3 0 0 0 0 0 1 7 6 16
"STM14_0344" 11 8 17 1 0 0 0 0 5 34 36 50
"STM14_0345" 21 34 39 3 0 1 4 1 6 84 168 176
"STM14_0346" 1 2 2 0 0 0 0 0 0 7 27 26
"STM14_0348" 29 31 44 4 0 9 4 4 7 57 85 113
"STM14_0350" 0 5 3 0 0 1 0 0 1 9 24 30
"STM14_0352" 94 69 129 14 1 3 4 10 10 311 301 348
"STM14_0353" 43 58 65 7 1 4 4 6 6 120 148 149
"STM14_0354" 182 245 283 27 8 23 30 16 40 300 345 439
"STM14_0355" 60 61 73 15 3 7 10 12 10 106 95 128
"STM14_0356" 57 63 94 5 0 7 11 11 15 161 195 273
"STM14_0357" 22 25 18 5 0 1 0 0 2 56 67 66
"STM14_0358" 350 427 414 57 14 20 56 25 61 712 801 1095
"STM14_0359" 25 31 44 4 3 1 9 5 7 115 145 173
"STM14_0360" 111 148 192 21 8 15 32 23 41 102 183 279
